 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time
 0,             0,               0,              0,         0,           0,          0
 1,             0,               0,              0,         0,           0,          0
 2,             1,               0,              0,         3,           2,          0
 3,             3,               2,              0,         7,           2,          0
 4,             6,               4,              0,        14,           5,          0
 5,             9,               6,              0,        23,           8,          0
 6,            12,               8,              0,        30,          10,          0
 7,            18,              13,              0,        31,          11,          0
 8,            19,              13,              0,        37,          11,          0
 9,            27,              20,              0,        52,          16,          0
10,            32,              24,              0,        54,          15,          0
