   n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
   0,             0,               0,              0,          0,            0,           0,        0,          0,         0,         0,           0,          0
   1,             0,               0,              0,          0,            0,           0,        0,          0,         0,         0,           0,          0
   2,             1,               0,              0,          1,            0,           0,        1,          2,         0,         2,           2,          0
   3,             3,               2,              0,          3,            2,           0,        3,          4,         0,         3,           2,          0
   4,             4,               2,              0,          6,            2,           0,        7,          8,         0,         7,           5,          0
   5,             5,               2,              0,         10,            2,           0,       12,         10,         0,        10,           7,          0
   6,             6,               2,              0,         15,            2,           0,       16,         12,         0,        12,           7,          0
   7,             7,               2,              0,         21,            2,           0,       21,         15,         0,        15,           9,          0
   8,             8,               2,              0,         28,            2,           0,       27,         21,         0,        20,          11,          0
   9,             9,               2,              0,         36,            2,           0,       35,         25,       996,        29,          12,          0
  10,            10,               2,              0,         45,            2,           0,       41,         29,         0,        30,          13,          0
  11,            11,               2,              0,         55,            2,           0,       49,         33,         0,        38,          17,          0
  12,            13,               3,              0,         66,            3,           0,       55,         38,         0,        34,          18,          0
  13,            14,               3,              0,         78,            3,           0,       63,         42,         0,        38,          17,          0
  14,            15,               3,              0,         91,            3,         998,       69,         47,         0,        48,          17,          0
  15,            16,               3,              0,        105,            3,         519,       76,         51,         0,        51,          19,          0
  16,            17,               3,              0,        120,            3,           0,       83,         57,       986,        68,          22,          0
  17,            19,               4,              0,        136,            4,           0,       94,         62,         0,        65,          21,          0
  18,            20,               4,              0,        153,            4,         997,      102,         68,         0,        73,          25,          0
  19,            21,               4,              0,        171,            4,           0,      112,         74,         0,        79,          27,          0
  20,            23,               5,              0,        190,            5,           0,      120,         81,         0,        90,          29,          0
  21,            25,               6,              0,        210,            6,           0,      130,         86,       996,        82,          31,          0
  22,            26,               6,              0,        231,            6,           0,      138,         90,         0,        93,          33,          0
  23,            27,               6,              0,        253,            6,           0,      148,         96,         0,        88,          31,          0
  24,            28,               6,              0,        276,            6,           0,      156,        101,       997,       100,          35,          0
  25,            29,               6,              0,        300,            6,           0,      166,        107,         0,       117,          34,          0
  26,            31,               7,              0,        325,            7,         997,      174,        112,       997,       134,          33,        224
  27,            33,               8,              0,        351,            8,           0,      184,        117,         0,       120,          42,          0
  28,            36,              10,              0,        378,           10,         998,      192,        123,         0,       133,          39,        996
  29,            37,              10,              0,        406,           10,           0,      202,        129,         0,       131,          41,        996
  30,            38,              10,              0,        435,           10,         997,      210,        136,         0,       149,          40,        997
  31,            40,              11,              0,        465,           11,           0,      220,        141,       996,       144,          41,          0
  32,            41,              11,              0,        496,           11,         997,      230,        147,       997,       154,          46,          0
  33,            42,              11,              0,        528,           11,        1245,      243,        153,       749,       148,          48,          0
  34,            43,              11,              0,        561,           11,         996,      254,        163,         0,       155,          46,        997
  35,            45,              12,              0,        595,           12,         998,      266,        166,       995,       180,          52,          0
  36,            46,              12,            997,        630,           12,           0,      278,        176,       997,       186,          52,          0
  37,            47,              12,              0,        666,           12,         997,      290,        180,         0,       211,          55,        998
  38,            48,              12,              0,        703,           12,         996,      298,        186,       996,       241,          53,          0
  39,            49,              12,              0,        741,           12,         997,      311,        194,         0,       209,          52,        997
  40,            51,              13,              0,        780,           13,        1994,      321,        197,         0,       246,          59,        998
  41,            52,              13,              0,        820,           13,         996,      333,        205,         0,       236,          62,        996
  42,            53,              13,              0,        861,           13,           0,      342,        213,       996,       228,          59,          0
  43,            54,              13,              0,        903,           13,         997,      354,        221,         0,       227,          63,          0
  44,            55,              13,              0,        946,           13,         996,      364,        227,         0,       326,          58,          0
  45,            56,              13,            998,        990,           13,         996,      376,        233,         0,       247,          64,          0
  46,            57,              13,              0,       1035,           13,           0,      389,        241,       996,       254,          70,          0
  47,            59,              14,            997,       1081,           14,         997,      399,        246,       997,       259,          70,        997
  48,            61,              15,              0,       1128,           15,        1995,      410,        254,       996,       282,          70,        997
  49,            62,              15,              0,       1176,           15,        1995,      424,        259,         0,       255,          71,        996
  50,            63,              15,              0,       1225,           15,         996,      434,        269,       998,       292,          71,          0
  51,            65,              16,              0,       1275,           16,        1993,      446,        272,       998,       282,          68,          0
  52,            67,              17,              0,       1326,           17,         996,      459,        279,       998,       288,          73,        996
  53,            70,              19,              0,       1378,           19,        1995,      470,        286,       997,       277,          80,          0
  54,            73,              21,              0,       1431,           21,        1994,      480,        292,       997,       300,          81,          0
  55,            74,              21,              0,       1485,           21,         997,      490,        299,       996,       376,          74,          0
  56,            75,              21,              0,       1540,           21,         997,      503,        307,       997,       349,          83,          0
  57,            76,              21,              0,       1596,           21,        1994,      517,        311,         0,       335,          85,          0
  58,            77,              21,              0,       1653,           21,         996,      524,        319,         0,       399,          84,        997
  59,            78,              21,              0,       1711,           21,        1994,      535,        326,         0,       371,          83,        997
  60,            79,              21,            997,       1770,           21,         997,      547,        333,       996,       350,          79,          0
