  n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
  0,             0,               0,              0,          0,            0,           0,        0,          0,         0,         0,           0,          0
  1,             0,               0,              0,          0,            0,           0,        0,          0,         0,         0,           0,          0
  2,             1,               0,              0,          1,            0,           0,        1,          2,         0,         2,           2,          0
  3,             2,               0,              0,          3,            0,           0,        3,          4,         0,         5,           4,          0
  4,             4,               1,              0,          6,            1,           0,        6,          7,         0,         8,           6,          0
  5,             5,               1,              0,         10,            1,           0,       11,          9,         0,        13,           7,          0
  6,             9,               4,              0,         15,            4,           0,       15,         12,         0,        16,           8,          0
  7,            12,               6,              0,         21,            6,         996,       20,         13,         0,        19,           8,          0
  8,            13,               6,              0,         28,            6,           0,       26,         19,         0,        27,          12,          0
  9,            14,               6,              0,         36,            6,           0,       34,         23,         0,        25,          12,          0
 10,            16,               7,              0,         45,            7,           0,       40,         28,         0,        34,          18,          0
 11,            18,               8,              0,         55,            8,           0,       47,         31,         0,        35,          15,          0
 12,            19,               8,              0,         66,            8,           0,       54,         37,         0,        42,          20,          0
 13,            20,               8,              0,         78,            8,           0,       62,         41,         0,        49,          17,          0
 14,            21,               8,            997,         91,            8,           0,       67,         45,         0,        55,          21,          0
 15,            22,               8,              0,        105,            8,         997,       75,         50,         0,        55,          21,          0
 16,            23,               8,              0,        120,            8,           0,       84,         56,         0,        68,          23,          0
 17,            24,               8,              0,        136,            8,           0,       94,         62,         0,        61,          24,          0
 18,            25,               8,              0,        153,            8,           0,      102,         68,       997,        99,          29,          0
 19,            27,               9,              0,        171,            9,         997,      112,         71,         0,        77,          26,          0
 20,            28,               9,              0,        190,            9,           0,      121,         81,       996,        86,          28,          0
 21,            29,               9,              0,        210,            9,           0,      131,         85,       997,        97,          33,          0
 22,            30,               9,              0,        231,            9,           0,      138,         89,       997,       123,          29,          0
 23,            31,               9,              0,        253,            9,           0,      148,         93,         0,       111,          33,          0
 24,            32,               9,              0,        276,            9,           0,      157,         99,       997,       105,          31,          0
 25,            33,               9,              0,        300,            9,         997,      166,        105,         0,       110,          33,          0
 26,            34,               9,              0,        325,            9,           0,      176,        109,       997,       132,          42,          0
 27,            35,               9,              0,        351,            9,           0,      184,        115,         0,       116,          40,          0
 28,            37,              10,              0,        378,           10,           0,      193,        122,         0,       141,          41,          0
 29,            39,              11,              0,        406,           11,           0,      203,        127,         0,       136,          39,        998
 30,            40,              11,              0,        435,           11,           0,      211,        133,       997,       131,          43,          0
 31,            41,              11,              0,        465,           11,         995,      221,        137,       997,       136,          47,        997
 32,            42,              11,              0,        496,           11,         996,      229,        144,         0,       145,          46,        997
 33,            43,              11,              0,        528,           11,           0,      241,        152,       998,       171,          45,          0
 34,            44,              11,              0,        561,           11,         998,      254,        159,       995,       175,          49,        996
 35,            46,              12,              0,        595,           12,         997,      266,        164,       997,       177,          50,          0
 36,            48,              13,              0,        630,           13,         997,      277,        172,       997,       192,          47,        996
 37,            50,              14,              0,        666,           14,         997,      289,        177,       997,       202,          52,          0
 38,            55,              18,              0,        703,           18,         998,      298,        183,      1994,       197,          56,          0
 39,            56,              18,              0,        741,           18,         996,      310,        191,       996,       180,          53,          0
 40,            57,              18,              0,        780,           18,        1994,      319,        197,         0,       206,          55,        996
 41,            58,              18,              0,        820,           18,         998,      331,        201,      1007,       251,          59,        985
 42,            59,              18,              0,        861,           18,         997,      344,        213,         0,       218,          57,        996
 43,            61,              19,              0,        903,           19,        1994,      355,        218,       998,       250,          60,          0
 44,            63,              20,              0,        946,           20,        1994,      365,        221,      1034,       250,          65,        959
 45,            65,              21,              0,        990,           21,        1994,      377,        228,         0,       249,          68,       1995
 46,            66,              21,              0,       1035,           21,        1995,      388,        236,       997,       250,          66,          0
 47,            67,              21,              0,       1081,           21,        1993,      400,        244,         0,       352,          67,        998
 48,            68,              21,              0,       1128,           21,        1993,      411,        250,       997,       279,          67,        997
 49,            69,              21,            997,       1176,           21,        2991,      423,        255,      1083,       295,          73,        910
 50,            71,              22,            997,       1225,           22,        1994,      434,        262,       998,       303,          71,        996
 51,            72,              22,              0,       1275,           22,        1994,      446,        271,      1116,       404,          78,          0
 52,            73,              22,              0,       1326,           22,        2873,      456,        277,         0,       306,          78,        998
 53,            75,              23,              0,       1378,           23,        1993,      470,        284,       998,       299,          84,        997
 54,            77,              24,              0,       1431,           24,        1995,      481,        291,       996,       298,          75,          0
 55,            78,              24,              0,       1485,           24,        1995,      491,        299,       997,       390,          78,        997
 56,            80,              25,              0,       1540,           25,        1996,      502,        301,       995,       352,          75,          0
 57,            81,              25,            997,       1596,           25,        1169,      512,        309,       824,       343,          88,          0
 58,            82,              25,              0,       1653,           25,        1994,      523,        320,       997,       356,          84,        997
 59,            83,              25,              0,       1711,           25,         998,      535,        325,       997,       339,          84,        996
 60,            85,              26,            997,       1770,           26,         997,      545,        332,       997,       367,          93,        997
