    n, bubble_cmp, bubble_swaps, bubble_time, insertion_cmp, insertion_swaps, insertion_time, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
    0,          0,            0,           0,             0,               0,              0,        0,          0,         0,         0,           0,          0
    1,          0,            0,           0,             0,               0,              0,        0,          0,         0,         0,           0,          0
    2,          1,            0,           0,             1,               0,              0,        1,          2,         0,         3,           2,          0
    3,          3,            0,           0,             2,               0,              0,        3,          4,         0,         5,           2,          0
    4,          6,            3,           0,             5,               3,           1019,        6,          5,         0,        13,           4,          0
    5,         10,            4,           0,             7,               4,              0,       10,          8,         0,        24,           7,          0
    6,         15,            9,           0,            12,               9,              0,       16,         13,         0,        25,           8,          0
    7,         21,           15,           0,            18,              15,              0,       21,         15,         0,        32,          11,          0
    8,         28,           21,           0,            25,              21,              0,       25,         17,         0,        43,          13,          0
    9,         36,           23,           0,            28,              23,              0,       31,         21,         0,        47,          14,        982
   10,         45,           29,           0,            35,              29,              0,       39,         27,         0,        56,          16,          0
   11,         55,           29,           0,            36,              29,              0,       47,         33,         0,        65,          19,          0
   12,         66,           38,           0,            46,              38,              0,       53,         34,         0,        75,          22,          0
   13,         78,           41,        1029,            50,              41,              0,       59,         39,         0,        81,          24,          0
   14,         91,           46,           0,            56,              46,              0,       63,         42,         0,        88,          25,          0
   15,        105,           49,           0,            60,              49,              0,       68,         45,       967,        93,          25,          0
   16,        120,           57,           0,            69,              57,              0,       80,         53,         0,        97,          26,          0
   17,        136,           59,           0,            72,              59,              0,       90,         59,       988,       103,          29,          0
   18,        153,           73,           0,            87,              73,              0,       97,         63,         0,       119,          32,          0
   19,        171,           82,           0,            97,              82,           1024,      103,         66,         0,       122,          33,          0
   20,        190,           85,           0,           101,              85,              0,      111,         73,       969,       141,          37,          0
   21,        210,           95,           0,           112,              95,              0,      119,         75,         0,       152,          36,          0
   22,        231,           95,           0,           113,              95,              0,      129,         85,         0,       160,          41,          0
   23,        253,           97,         996,           116,              97,              0,      139,         87,         0,       174,          43,          0
   24,        276,          106,           0,           126,             106,            998,      148,         94,         0,       177,          41,          0
   25,        300,          126,           0,           147,             126,              0,      157,        100,         0,       167,          40,          0
   26,        325,          137,         997,           159,             137,              0,      168,        105,         0,       201,          46,          0
   27,        351,          153,         998,           176,             153,              0,      176,        111,         0,       207,          50,          0
   28,        378,          158,         997,           182,             158,              0,      185,        118,         0,       207,          52,          0
   29,        406,          164,           0,           189,             164,              0,      191,        120,         0,       216,          54,        996
   30,        435,          185,           0,           211,             185,            996,      198,        125,         0,       238,          58,          0
   31,        465,          215,         999,           241,             215,              0,      207,        129,         0,       233,          57,        995
   32,        496,          241,           0,           268,             241,           1010,      218,        135,         0,       245,          59,          0
   33,        528,          266,         985,           294,             266,              0,      229,        134,         0,       270,          67,          0
   34,        561,          289,        1026,           318,             289,              0,      243,        147,         0,       283,          68,        971
   35,        595,          316,           0,           346,             316,           1024,      253,        150,         0,       291,          68,        967
   36,        630,          350,           0,           381,             350,            995,      258,        156,       998,       293,          72,          0
   37,        666,          365,        1012,           397,             365,              0,      272,        165,      1011,       310,          71,          0
   38,        703,          398,         968,           431,             398,            996,      282,        168,         0,       304,          76,          0
   39,        741,          436,        1011,           469,             436,            984,      291,        174,         0,       315,          79,        997
   40,        780,          463,        1014,           497,             463,            980,      302,        177,         0,       334,          79,          0
   41,        820,          477,        2010,           512,             477,              0,      314,        183,         0,       347,          80,          0
   42,        861,          478,        2013,           514,             478,            979,      320,        188,         0,       391,          86,        996
   43,        903,          482,         997,           519,             482,           1003,      334,        194,         0,       389,          89,          0
   44,        946,          493,        1988,           531,             493,            998,      348,        201,         0,       399,          94,          0
   45,        990,          537,        2015,           575,             537,            976,      360,        207,         0,       381,          92,       1008
   46,       1035,          579,         986,           618,             579,           1010,      372,        213,         0,       402,          96,          0
   47,       1081,          593,         996,           633,             593,            998,      379,        217,      1015,       427,         103,          0
   48,       1128,          611,        1998,           652,             611,            975,      386,        223,         0,       413,         102,       1004
   49,       1176,          654,         990,           696,             654,            997,      397,        226,       997,       475,         107,          0
   50,       1225,          680,         982,           723,             680,            989,      410,        232,       996,       471,         112,       1009
   51,       1275,          709,         986,           753,             709,            996,      418,        235,      1006,       478,         109,          0
   52,       1326,          759,        2019,           804,             759,           1961,      431,        243,         0,       469,         113,        996
   53,       1378,          809,         998,           855,             809,           1993,      440,        247,         0,       475,         116,        998
   54,       1431,          858,        1997,           905,             858,            994,      450,        258,       996,       497,         120,          0
   55,       1485,          879,        2025,           927,             879,           1963,      460,        265,         0,       513,         120,        997
   56,       1540,          924,        1994,           973,             924,           1994,      473,        264,         0,       539,         124,       1009
   57,       1596,          976,        1982,          1026,             976,           2004,      484,        274,         0,       571,         128,        988
   58,       1653,          985,        2038,          1036,             985,           1980,      494,        279,         0,       575,         131,        967
   59,       1711,         1039,        1995,          1091,            1039,           2004,      509,        289,       987,       592,         133,          0
