   n, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
   0,        0,          0,         0,         0,           0,          0
   1,        0,          0,         0,         0,           0,          0
   2,        1,          2,         0,         2,           2,          0
   3,        3,          3,         0,         4,           4,        939
   4,        7,          7,         0,         5,           4,          0
   5,       12,         10,         0,        11,           6,          0
   6,       16,         12,         0,        14,           9,          0
   7,       19,         14,         0,        20,          12,          0
   8,       27,         19,         0,        22,           9,          0
   9,       35,         24,         0,        27,          15,          0
  10,       41,         29,         0,        34,          17,          0
  11,       48,         32,         0,        37,          18,          0
  12,       57,         38,         0,        43,          21,          0
  13,       65,         42,         0,        54,          20,        997
  14,       69,         45,         0,        56,          24,          0
  15,       73,         49,         0,        63,          25,          0
  16,       82,         53,         0,        66,          24,          0
  17,       87,         56,         0,        69,          28,          0
  18,       97,         62,         0,        83,          30,          0
  19,      105,         66,       997,       101,          31,          0
  20,      109,         69,         0,        90,          35,          0
  21,      119,         78,       997,       124,          37,          0
  22,      127,         84,       997,       108,          40,          0
  23,      137,         86,         0,       125,          44,        997
  24,      151,         95,         0,       127,          46,          0
  25,      162,        100,         0,       178,          45,        997
  26,      170,        102,         0,       142,          50,          0
  27,      177,        105,         0,       138,          47,          0
  28,      188,        114,         0,       151,          56,        997
  29,      199,        118,         0,       150,          55,          0
  30,      205,        121,         0,       182,          60,          0
  31,      214,        123,       996,       184,          59,          0
  32,      225,        131,       998,       213,          56,          0
  33,      232,        138,         0,       209,          62,        997
  34,      240,        141,         0,       211,          67,        997
  35,      251,        143,         0,       217,          68,          0
  36,      260,        152,         0,       258,          70,          0
  37,      269,        160,       997,       223,          78,          0
  38,      283,        160,         0,       254,          74,          0
  39,      295,        173,       997,       271,          77,          0
  40,      300,        177,       997,       305,          80,          0
  41,      306,        181,         0,       271,          89,        999
  42,      320,        190,         0,       277,          84,          0
  43,      335,        199,       995,       342,          88,          0
  44,      335,        195,         0,       280,          91,       1080
  45,      349,        200,         0,       326,          89,          0
  46,      360,        209,       914,       323,         100,          0
  47,      376,        216,         0,       334,          99,        996
  48,      391,        225,         0,       357,          99,          0
  49,      404,        234,         0,       324,         105,          0
  50,      413,        242,       998,       388,         104,          0
  51,      429,        246,       996,       373,         103,        997
  52,      437,        256,         0,       392,         111,          0
  53,      452,        265,         0,       428,         107,          0
  54,      471,        275,       997,       463,         105,          0
  55,      475,        277,       996,       406,         112,       1121
  56,      484,        283,         0,       409,         117,        872
  57,      487,        280,         0,       419,         118,          0
  58,      508,        293,       997,       422,         128,        997
  59,      518,        299,       997,       445,         128,        997
  60,      526,        305,         0,       480,         131,        997
  61,      537,        313,         0,       517,         131,        997
  62,      542,        310,         0,       510,         138,        997
  63,      542,        309,         0,       450,         141,        997
  64,      558,        320,       997,       512,         137,          0
  65,      574,        327,         0,       525,         142,        997
  66,      590,        336,       997,       590,         143,        997
  67,      606,        349,         0,       528,         153,        997
  68,      617,        353,       996,       550,         145,        997
  69,      629,        357,       997,       497,         150,       1156
  70,      637,        363,         0,       587,         159,        838
  71,      652,        372,      1995,       539,         154,       1995
  72,      665,        375,         0,       707,         165,        996
  73,      682,        388,         0,       589,         160,        996
  74,      693,        396,       997,       612,         169,        998
  75,      706,        408,         0,       567,         162,        201
  76,      716,        409,       795,       590,         167,          0
  77,      728,        417,       997,       597,         168,          0
  78,      749,        430,         0,       599,         173,        997
  79,      755,        429,       999,       652,         171,        996
  80,      758,        429,       996,       644,         178,        997
  81,      778,        443,      1994,       643,         181,          0
  82,      786,        450,      1995,       703,         181,          0
  83,      810,        457,       997,       793,         186,        996
  84,      826,        465,       997,       754,         187,        998
  85,      835,        473,       996,       911,         182,        997
  86,      846,        481,       997,       751,         208,        996
  87,      862,        490,       997,       732,         194,       1994
  88,      864,        491,       997,       731,         203,        996
  89,      870,        490,       996,       772,         205,        998
  90,      899,        513,      1993,       911,         205,          0
  91,      901,        504,       997,       853,         199,        997
  92,      918,        520,       996,       760,         220,        997
  93,      928,        524,       997,       845,         222,        998
  94,      941,        533,       996,       889,         209,          0
  95,      955,        538,       998,       916,         218,       1994
  96,      967,        553,       996,       816,         224,        997
  97,      990,        562,      1994,       857,         222,        998
  98,     1003,        567,      1993,       805,         219,       1994
  99,     1022,        579,      1994,       859,         230,        997
 100,     1035,        589,       996,       849,         233,        997
 101,     1049,        590,      1994,       904,         239,        997
 102,     1057,        599,       997,       969,         225,        997
 103,     1075,        604,       998,       920,         234,        997
 104,     1084,        615,      1994,       914,         239,        996
 105,     1092,        621,       997,       928,         247,        997
 106,     1107,        626,       997,       881,         249,        997
 107,     1121,        634,      1994,      1001,         251,        997
 108,     1133,        646,      1994,       981,         249,          0
 109,     1144,        646,       997,      1051,         264,       1995
 110,     1164,        659,      1994,      1011,         258,        998
 111,     1171,        652,      2991,      1014,         260,        997
 112,     1192,        678,       998,       943,         253,       1993
 113,     1192,        671,       997,       974,         255,        997
 114,     1215,        691,       997,       994,         264,       1049
 115,     1227,        690,       944,      1029,         276,          0
 116,     1254,        708,      2992,      1044,         268,        996
 117,     1256,        702,      3084,      1019,         277,        905
 118,     1277,        722,       997,      1153,         265,        997
 119,     1281,        725,       997,      1218,         278,        998
 120,     1311,        733,       997,      1094,         290,       1993
 121,     1316,        738,      1994,      1247,         286,        998
 122,     1329,        744,      1993,      1127,         289,        997
 123,     1342,        750,       998,      1113,         305,        997
 124,     1346,        754,       997,      1148,         292,        996
 125,     1362,        767,       996,      1182,         299,       1142
 126,     1367,        768,       852,      1317,         292,        997
 127,     1392,        780,       997,      1282,         296,        997
 128,     1404,        789,      1994,      1282,         309,        997
 129,     1401,        778,      1994,      1193,         304,        997
 130,     1424,        794,      1994,      1121,         310,        997
 131,     1428,        796,       997,      1296,         297,        997
 132,     1440,        799,      1994,      1270,         310,        997
