  n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
  0,             0,               0,              0,          0,            0,           0,        0,          0,         0,         0,           0,          0
  1,             0,               0,              0,          0,            0,           0,        0,          0,         0,         0,           0,          0
  2,             1,               1,              0,          1,            1,           0,        1,          1,         0,         1,           2,          0
  3,             2,               1,              0,          3,            1,           0,        3,          3,         0,         5,           3,          0
  4,             4,               2,              0,          6,            2,           0,        6,          6,         0,         7,           5,          0
  5,             5,               2,              0,         10,            2,           0,       11,         10,         0,        11,           7,          0
  6,            10,               6,              0,         15,            6,           0,       15,         12,         0,        16,           9,          0
  7,            13,               8,              0,         21,            8,           0,       19,         14,         0,        24,          12,          0
  8,            20,              15,              0,         28,           15,         997,       27,         19,         0,        22,          10,          0
  9,            26,              20,              0,         36,           20,           0,       33,         20,         0,        26,          13,          0
 10,            34,              27,              0,         45,           27,           0,       37,         23,         0,        35,          16,        997
 11,            40,              32,              0,         55,           32,           0,       46,         28,         0,        45,          19,          0
 12,            44,              35,              0,         66,           35,           0,       51,         33,         0,        45,          19,          0
 13,            55,              45,              0,         78,           45,         996,       56,         35,         0,        54,          21,          0
 14,            59,              48,              0,         91,           48,           0,       61,         38,         0,        66,          25,        997
 15,            67,              55,              0,        105,           55,           0,       68,         43,         0,        65,          28,          0
 16,            70,              57,              0,        120,           57,           0,       80,         53,         0,        66,          29,          0
 17,            83,              69,              0,        136,           69,         997,       90,         55,         0,        84,          27,          0
 18,            92,              77,              0,        153,           77,           0,       99,         61,         0,        86,          29,       1097
 19,            95,              79,              0,        171,           79,           0,      106,         65,         0,        93,          36,          0
 20,           114,              98,              0,        190,           98,         896,      116,         72,         0,        85,          35,          0
 21,           133,             116,            997,        210,          116,           0,      124,         74,       997,       100,          34,          0
 22,           154,             136,              0,        231,          136,         997,      127,         76,         0,       111,          39,        997
 23,           168,             149,              0,        253,          149,         997,      137,         81,         0,       126,          43,        997
 24,           182,             162,            997,        276,          162,           0,      145,         88,       997,       153,          44,          0
 25,           198,             177,              0,        300,          177,         997,      154,         93,       133,       134,          43,          0
 26,           211,             189,              0,        325,          189,         864,      164,        101,         0,       158,          47,          0
 27,           235,             212,              0,        351,          212,         997,      170,        102,         0,       164,          53,          0
 28,           241,             217,            996,        378,          217,         997,      179,        107,       997,       163,          54,          0
 29,           248,             223,            997,        406,          223,         997,      186,        109,       997,       165,          58,          0
 30,           255,             229,            997,        435,          229,         997,      194,        115,         0,       195,          56,        997
 31,           268,             241,              0,        465,          241,         997,      202,        121,         0,       170,          57,          0
 32,           280,             252,            998,        496,          252,         996,      217,        130,         0,       197,          62,          0
 33,           293,             264,           1000,        528,          264,         994,      226,        136,       998,       190,          65,          0
 34,           321,             291,            996,        561,          291,           0,      242,        143,         0,       200,          66,          0
 35,           329,             298,              0,        595,          298,         998,      253,        148,         0,       202,          74,        995
 36,           357,             325,              0,        630,          325,        1995,      260,        153,       997,       246,          66,          0
 37,           386,             353,            997,        666,          353,         997,      268,        157,         0,       258,          70,          0
 38,           415,             381,            997,        703,          381,         997,      275,        159,         0,       251,          73,          0
 39,           419,             384,            997,        741,          384,         997,      288,        168,       997,       269,          75,          0
 40,           458,             423,            997,        780,          423,         997,      301,        173,         0,       337,          77,        998
 41,           486,             450,              0,        820,          450,         996,      310,        178,       996,       297,          83,          0
 42,           508,             471,            997,        861,          471,         997,      320,        183,         0,       269,          82,          0
 43,           538,             500,            997,        903,          500,         997,      335,        194,       997,       354,          86,          0
 44,           544,             505,            997,        946,          505,        1994,      347,        203,         0,       285,          88,        997
 45,           558,             518,            997,        990,          518,         997,      357,        212,         0,       347,          90,        997
 46,           580,             539,            997,       1035,          539,        1995,      365,        213,         0,       285,          93,        997
 47,           610,             568,            997,       1081,          568,         997,      375,        218,       997,       379,          93,          0
 48,           635,             592,            997,       1128,          592,         997,      389,        228,         0,       318,         102,          0
 49,           677,             633,            997,       1176,          633,        1994,      400,        233,         0,       358,         103,        997
 50,           716,             671,            997,       1225,          671,         997,      409,        241,       997,       424,          99,          0
 51,           726,             680,           1995,       1275,          680,        3990,      417,        244,         0,       373,         101,        996
 52,           729,             682,           1995,       1326,          682,        2991,      432,        254,         0,       338,         112,          0
 53,           748,             700,           1994,       1378,          700,        1994,      443,        264,         0,       425,         108,        997
 54,           800,             751,            996,       1431,          751,        2993,      454,        267,         0,       436,         109,        997
 55,           848,             798,           1993,       1485,          798,        2991,      462,        272,         0,       409,         114,        998
 56,           884,             833,            996,       1540,          833,        1996,      472,        277,         0,       405,         123,        996
 57,           908,             856,            997,       1596,          856,        3990,      479,        276,         0,       420,         119,        995
 58,           949,             896,            997,       1653,          896,        1995,      497,        290,       997,       466,         110,        998
 59,          1007,             953,           1993,       1711,          953,        3990,      514,        295,       997,       432,         131,          0
 60,          1018,             963,           1993,       1770,          963,        1994,      521,        305,         0,       486,         122,          0
